u;y
1.325587633;0
0.495193597;0.588349037
0.61287148;0.560102091
0.553417498;0.582369978
1.270396005;0.570061652
-1.252393864;0.880602436
0.440087653;-0.059181186
1.389833794;0.141213498
0.235210053;0.700711704
-0.005585488;0.506347625
-0.269400209;0.274313602
-1.591614202;0.028018354
-0.157893214;-0.696124133
1.046206216;-0.473146608
2.024066368;0.206804593
-0.629014874;1.028292765
0.735305519;0.31040587
1.200618717;0.482301869
-0.860381275;0.805615082
0.729769329;0.073197364
-0.989217919;0.348022645
-0.444139696;-0.238715594
-0.105916915;-0.34322591
-0.807316311;-0.239691672
-0.329128364;-0.489249391
1.093320984;-0.423832628
0.43077676;0.25122378
1.285041635;0.345878902
-0.509556385;0.764225503
-2.454071863;0.208123745
-1.2829846;-0.986217266
1.829903287;-1.144015219
-0.885637327;0.173460073
-1.916444769;-0.26717838
-0.866515375;-1.010177765
-0.447204486;-0.962517085
-0.028482901;-0.732094907
1.832088343;-0.414741733
-0.146006719;0.589354711
0.028481591;0.285052535
-0.100579937;0.163517028
-1.734843404;0.043900891
-0.733370163;-0.748144395
-0.475802435;-0.759118564
1.745394758;-0.632913991
-0.144840276;0.425466503
0.884091434;0.195793797
0.50780482;0.495235584
-0.346406758;0.507723467
0.801463794;0.128627611
0.714439935;0.418818972
0.110966878;0.556826224
-0.26250651;0.361736402
0.550368839;0.080216676
-0.281535804;0.28279962
-1.439571136;0.037079034
1.664940676;-0.62397874
-0.852825464;0.377444274
-0.867036951;-0.145722748
-0.404843913;-0.478434693
-0.043053904;-0.452676794
0.594603177;-0.270019813
-0.519829388;0.117767307
-0.377801425;-0.156751346
0.492727301;-0.261313383
0.504506868;0.071290413
0.584701747;0.271057324
-0.758868773;0.414413225
-0.575922413;-0.103310784
1.776689968;-0.324722696
-0.854619155;0.603505361
0.259368829;-0.022823844
0.451145687;0.087645345
-1.798220423;0.252032563
-1.138725381;-0.654414243
-0.581865557;-0.889694011
-0.739281055;-0.757492143
-0.97154521;-0.746288815
-1.042886899;-0.846142138
-1.479698123;-0.935693514
1.003591786;-1.179049212
0.955050209;-0.215647366
0.823470249;0.325618558
-0.236073137;0.557768813
-1.464422513;0.210150825
-0.224591789;-0.541020547
0.277171919;-0.416983666
0.217145672;-0.105471136
1.310760049;0.044517925
1.180509281;0.609594273
-0.617936966;0.875447527
-0.808771994;0.21804381
0.65126522;-0.252551909
1.938609288;0.138715575
-1.94204231;0.946687631
0.068248845;-0.317822386
0.032425557;-0.17532744
0.098796931;-0.078790477
0.990129456;0.002006023
-0.414278941;0.442294664
-0.409096328;0.071846764
0.51091378;-0.15025253
-0.120613168;0.138600526
-1.6430235;0.0301663
-0.01902191;-0.715141574
0.780673329;-0.422662217
-0.761655616;0.118598272
-0.604561318;-0.260330079
-0.228026053;-0.42202123
0.305716398;-0.339161732
-1.026413916;-0.050964268
1.770808156;-0.477570537
0.722810646;0.510598445
-0.274711823;0.627178021
-0.076287815;0.228582273
0.071324077;0.084326204
0.62271035;0.075701564
0.768421756;0.318408257
0.863384295;0.523549132
-0.787717645;0.678732499
-0.423901353;0.031143896
-0.152243707;-0.185372911
-1.647314326;-0.174906989
2.057018462;-0.828017828
0.379502944;0.437919984
1.658282569;0.440760132
-0.036526951;0.980057082
-1.365206352;0.540906897
-0.417962047;-0.315362512
0.844547221;-0.379553825
0.148337303;0.163068955
-1.490483193;0.168638892
0.824578254;-0.568106848
-0.134331635;0.033634052
-0.804784075;-0.026862451
-0.887027332;-0.374044816
0.270556592;-0.609380393
-0.848000032;-0.223762217
-0.472805936;-0.492041027
-0.70976403;-0.489828364
0.504246234;-0.587142194
0.924155651;-0.104918904
-0.252820213;0.362649303
-0.175890573;0.099455997
2.125068854;-0.029013078
-1.037144959;0.924445302
-0.83227984;0.075145309
1.358056843;-0.34736948
0.364830522;0.400951386
0.885062819;0.401925248
0.110186293;0.615702013
2.181191584;0.396119806
2.924945458;1.183325925
-1.1136316;1.974056604
0.504105167;0.620511852
-0.185777437;0.538033806
0.359663849;0.216174462
1.664911532;0.272718975
0.337948579;0.89217478
0.08289461;0.659916838
-1.00506923;0.398090497
-0.323600426;-0.230288519
0.615134561;-0.285470316
-0.86203761;0.113576811
2.182533304;-0.31052843
-0.644420202;0.786193348
-1.239129923;0.176039617
2.306867923;-0.466647314
-1.473598404;0.75062476
-0.665976457;-0.208923652
-0.937979986;-0.434252657
0.635385299;-0.661944324
-0.899248555;-0.091041901
-0.166693864;-0.436849393
-0.673678254;-0.325159379
-0.369003515;-0.477030456
0.834857408;-0.432577778
-0.798643876;0.131090448
0.184625344;-0.269058531
-0.435305737;-0.077105022
-0.214798437;-0.231438489
-0.882776002;-0.227675258
-0.339593476;-0.518206488
-0.513137761;-0.445408493
0.359434845;-0.473589352
-0.112601572;-0.104562445
-0.721618089;-0.099886276
0.48063143;-0.376061752
0.827287264;-0.001966716
-1.221024777;0.374664263
0.738858584;-0.325524468
0.554954242;0.130980326
-0.272043177;0.329957698
1.695972515;0.066763245
-0.491635496;0.783851882
0.286352589;0.233945817
1.039208119;0.244313993
-0.087014926;0.597866872
0.288076697;0.301730527
1.274910212;0.288763219
0.212907348;0.726442667
1.116075322;0.508260181
0.7633448;0.772785155
-2.178308738;0.774694691
1.030018857;-0.536168508
-0.325964684;0.129790974
0.740848413;-0.056496537
0.298012431;0.292609297
0.924665797;0.302971691
0.582533869;0.578816392
-0.445040925;0.586611374
-0.036314893;0.128650197
1.531842915;0.045238779
0.556070352;0.70360437
0.032308075;0.652838904
1.46270991;0.375703024
0.793594654;0.852058935
-1.870162298;0.836960123
-0.246296124;-0.365340058
0.757936133;-0.339241106
0.714949628;0.14938166
-0.457284774;0.411216175
-1.304786381;0.031137274
-0.403634485;-0.570477538
1.327344953;-0.509473014
0.508717921;0.307661108
-2.201365698;0.415015836
-0.638974839;-0.744574492
1.024810939;-0.723589242
1.294510415;0.053924406
-0.50295557;0.62179692
0.459017068;0.134539292
0.487963106;0.267228619
-0.434101395;0.368607128
-0.446647194;0.014453548
-2.664194965;-0.198171361
0.558542387;-1.297106583
0.083573804;-0.497785321
-0.017801443;-0.220986067
0.389565847;-0.125393181
-0.585239044;0.105077999
1.056649767;-0.196257682
-0.637399833;0.352921588
1.181556031;-0.074119067
0.127319025;0.473191664
-0.088235076;0.33226564
-0.699109674;0.141989061
-1.034530379;-0.235414941
1.145152965;-0.598333351
-0.07246856;0.167745603
1.716395492;0.078495383
